input_index,url,name_bg,brand_name,status,confidence,warnings
216,https://nedistil.com/neds-13/,NedS - Неди Стил,Неди Стил,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
217,https://nedistil.com/struzzo-grey/,Struzzo Grey - Неди Стил,Неди Стил,REVIEW,MEDIUM,NEW_BRAND_REVIEW_REQUIRED|MISSING_CATEGORY|MISSING_SUBCATEGORY|MISSING_PRODUCT_TYPE|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
218,https://nedistil.com/banana/,Banana - Неди Стил,Неди Стил,REVIEW,MEDIUM,NEW_BRAND_REVIEW_REQUIRED|MISSING_CATEGORY|MISSING_SUBCATEGORY|MISSING_PRODUCT_TYPE|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
219,https://nedistil.com/bag-autumn-24/,Bag Autumn 24 - Неди Стил,Неди Стил,REVIEW,MEDIUM,NEW_BRAND_REVIEW_REQUIRED|MISSING_CATEGORY|MISSING_SUBCATEGORY|MISSING_PRODUCT_TYPE|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
220,https://nedistil.com/women-solo/,Women Solo - Неди Стил,Неди Стил,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_DESCRIPTION|MISSING_MATERIALS
221,https://nedistil.com/ajurni-kafyavi-balerinki/,Ажурни кафяви балеринки с камъчета | Размери 36–40,Неди Стил,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_MATERIALS
222,https://nedistil.com/дамски-сандали-air-weave-premium-лекота-комфорт-и/,"Дамски сандали Air Weave Premium – Лекота, комфорт и елегантнос - Неди Стил",Неди Стил,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_MATERIALS
223,https://nedistil.com/дамски-мокасини-luxury-mosaic-premium-edition/,Дамски мокасини Luxury Mosaic – Premium Edition - Неди Стил,Неди Стил,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_MATERIALS
224,https://nedistil.com/sc-blue/,SC Blue - Неди Стил,Неди Стил,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED
225,https://nedistil.com/sc-beige/,SC Marmo - Неди Стил,Неди Стил,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED
226,https://www.cavalerbg.com/c/mzhki-maratonki-22/mzhki-maratonki-estestvena-kozha-byalo-sivo-2471,Мъжки маратонки естествена кожа в бяло и сиво,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
227,https://www.cavalerbg.com/c/nova-kolekciya-18/mzhki-oficialni-obuvki-lastik-perforaciya-2378,Мъжки официални обувки с ластик и перфорация,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
228,https://www.cavalerbg.com/c/turisticheski-obuvki-16/zimni-turisticheski-obuvki-kafyavo-2553,Зимни туристически обувки в кафяво,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
229,https://www.cavalerbg.com/c/turisticheski-obuvki-16/mzhki-turisticheski-obuvki-vodoustoichivi-2521,Мъжки туристически обувки - водоустойчиви,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
230,https://www.cavalerbg.com/c/turisticheski-obuvki-16/planinski-obuvki-cherno-2528,Планински обувки в черно,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
231,https://www.cavalerbg.com/c/sandali-chehli-1/mzhko-kafyavo-2446,Мъжко сабо кафяво,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
232,https://www.cavalerbg.com/c/ezhednevni-2/mzhki-sportni-polovinki-nabuk-bezhov-cvyat-2695,Мъжки спортни половинки от набук в бежов цвят,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
233,https://www.cavalerbg.com/c/ezhednevni-2/mzhki-sportni-polovinki-nabuk-siv-sin-cvyat-2694,Мъжки спортни половинки от набук в сив и син цвят,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
234,https://www.cavalerbg.com/c/mzhki-mokasini-espadrili-15/mzhki-mokasini-cvyat-kamel-2638,Мъжки мокасини в цвят камел,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
235,https://www.cavalerbg.com/c/nova-kolekciya-18/mzhki-mokasini-svetlokafyav-cvyat-2622,Мъжки мокасини в светлокафяв цвят,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
236,https://www.cavalerbg.com/c/oficialni-3/elegantni-mzhki-cherni-obuvki-lastik-cvyat-oliv-2699,Елегантни мъжки черни обувки с ластик в цвят олив,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
237,https://www.cavalerbg.com/c/oficialni-3/mzhki-oficialni-polovinki-tmno-kafyav-cvyat-2680,Мъжки официални половинки в тъмно кафяв цвят,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
238,https://www.cavalerbg.com/c/boti-4/mzhki-klarkove-cvyat-oliv-2692,Мъжки кларкове в цвят олив,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
239,https://www.cavalerbg.com/c/boti-4/ezhednevni-mzhki-v-kafyav-cvyat-2659,Ежедневни мъжки боти в кафяв цвят,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
240,https://www.cavalerbg.com/c/boti-4/mzhki-velureni-boti-2444,Мъжки велурени боти,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
241,https://www.cavalerbg.com/c/sportni-8/mzhki-sportni-maratonki-cherno-sivo-2664,Мъжки спортни маратонки в черно и сиво,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
242,https://www.cavalerbg.com/c/nova-kolekciya-18/mzhki-sportni-polovinki-2581,Мъжки спортни половинки,Cavaler,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
243,https://estellashoes.com/produkt/damski-keczove-anisa/,Дамски кецове ANISA,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
