product_id,product_name,current_category,current_subcategory,current_product_type,problem,suggested_review
"183","Сет за сватба","Дом и интериор","","","Subcategory is not valid under the current category","Review structured Product taxonomy manually"
"207","Artitera крем против болки в ставите","Здраве и грижа","Грижа за тялото","Олиа, лосиони и балсами","Subcategory is not valid under the current category","Review structured Product taxonomy manually"
"638","Маска за сън Satin Sleep","Аксесоари","Кухня и трапезария","Кухненски текстил","Subcategory is not valid under the current category","Review structured Product taxonomy manually"
"688","","","","","Unknown category","Review structured Product taxonomy manually"
"689","","","","","Unknown category","Review structured Product taxonomy manually"
"690","","","","","Unknown category","Review structured Product taxonomy manually"
"691","","","","","Unknown category","Review structured Product taxonomy manually"
