URL,PAGE_TYPE,PRODUCT_COUNT,INCOMING_HTML_PAGES,REACHABLE_FROM_HOME,IN_SITEMAP,INDEXABILITY,TITLE,GENERATED_BY
/byala-damska-riza/,intent_landing,2,0,NO,YES,INDEX,Бели дамски ризи – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/cherno-palto/,intent_landing,2,0,NO,YES,INDEX,Черни палта – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/godezhni-prasteni/,intent_landing,2,0,NO,YES,INDEX,Годежни пръстени – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/k/grim/,taxonomy_landing,2,22,YES,YES,INDEX,Български грим от локални марки | Българитъм,src/pages/k/[slug].astro
/kafyavo-palto/,intent_landing,2,0,NO,YES,INDEX,Кафяви палта – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/kozmetika-za-mazna-kosa/,intent_landing,2,4,YES,YES,INDEX,Козметика за мазна коса – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/kozmetika-za-uvredena-kosa/,intent_landing,2,4,YES,YES,INDEX,Козметика за увредена коса – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/lenena-roklya/,intent_landing,2,0,NO,YES,INDEX,Ленени рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/rozovi-rokli/,intent_landing,2,0,NO,YES,INDEX,Розови рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/zlatni-kolieta/,intent_landing,2,0,NO,YES,INDEX,Златни колиета – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/beli-rokli/,intent_landing,3,43,YES,YES,INDEX,Бели рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-ot-meditsinska-stomana/,intent_landing,3,46,YES,YES,INDEX,Бижута от медицинска стомана | Българитъм,src/pages/[...slug].astro or dedicated route
/cherna-roklya/,intent_landing,3,0,NO,YES,INDEX,Черни рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/k/grizha-za-domashni-lyubimci/,taxonomy_landing,3,7,YES,YES,INDEX,Всички продукти | Домашни любимци | Българитъм,src/pages/k/[slug].astro
/k/kolani/,taxonomy_landing,3,64,YES,YES,INDEX,Български колани от локални марки | Българитъм,src/pages/k/[slug].astro
/k/za-glava/,taxonomy_landing,3,64,YES,YES,INDEX,Български аксесоари за коса | Българитъм,src/pages/k/[slug].astro
/koleden-podarak-za-zhena/,intent_landing,3,22,YES,YES,INDEX,Коледен подарък за жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/kozmetika-za-kosopad/,intent_landing,3,4,YES,YES,INDEX,Козметика за косопад – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/kozmetika-za-protiv-brachki/,intent_landing,3,6,YES,YES,INDEX,Козметика против бръчки – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/obetsi-ot-meditsinska-stomana/,intent_landing,3,0,NO,YES,INDEX,Обеци от медицинска стомана | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-mazh-sportist/,intent_landing,3,24,YES,YES,INDEX,Подарък за спортуващ мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/k/pochistvane/,taxonomy_landing,4,17,YES,YES,INDEX,Почистване | Дом и интериор | Българитъм,src/pages/k/[slug].astro
/kozmetika-za-chuvstvitelna-kozha/,intent_landing,4,6,YES,YES,INDEX,Козметика за чувствителна кожа – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/kozmetika-za-suha-kozha/,intent_landing,4,6,YES,YES,INDEX,Козметика за суха кожа – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/mazhki-leneni-rizi/,intent_landing,4,7,YES,YES,INDEX,Мъжки ленени ризи – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/pamuchni-rokli/,intent_landing,4,43,YES,YES,INDEX,Памучни рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-mazh-za-imen-den/,intent_landing,4,24,YES,YES,INDEX,Подарък за имен ден на мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-zhena-sportist/,intent_landing,4,0,NO,YES,INDEX,Подарък за спортуваща жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/roklya-saten/,intent_landing,4,43,YES,YES,INDEX,Сатенени рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/srebarni-kolieta/,intent_landing,4,0,NO,YES,INDEX,Колиета от сребро – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/zlaten-prasten/,intent_landing,4,0,NO,YES,INDEX,Златни пръстени – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarska-bebeshka-kozmetika/,intent_landing,5,1,NO,YES,INDEX,Българска бебешка козметика – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-izpisvane-na-bebe/,intent_landing,5,8,YES,YES,INDEX,Подарък за изписване – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podaratsi-za-pogacha-na-momche/,intent_landing,5,8,YES,YES,INDEX,Подарък за погача – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/praktichen-podarak-za-zhena/,intent_landing,5,0,NO,YES,INDEX,Практичен подарък за жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/romantichen-podarak-za-mazh/,intent_landing,5,24,YES,YES,INDEX,Романтичен подарък за мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-drehi/chanti/,clothing_landing,6,2,YES,YES,INDEX,Български чанти от локални марки | Българитъм,src/pages/bulgarski-drehi/[slug].astro
/kozmetika-s-shafran/,intent_landing,6,3,YES,YES,INDEX,Козметика с шафран – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/pozlateni-bizhuta/,intent_landing,6,46,YES,YES,INDEX,Български позлатени бижута от локални марки | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-drehi/damski-chanti/,clothing_landing,7,10,YES,YES,INDEX,Български дамски чанти | Българитъм,src/pages/bulgarski-drehi/[slug].astro
